x,qx,lx,dx,Lx,Tx,ex,,,,,,,,,ex
0.00,0.01,100000.00,587.00,99484.00,7540006.00,75.40,,,,,,,,,
1.00,0.00,99413.00,40.00,99393.00,7440521.00,74.84,,,,,,,,,
2.00,0.00,99373.00,27.00,99360.00,7341128.00,73.87,,,,,,,,,
3.00,0.00,99346.00,23.00,99335.00,7241769.00,72.89,,,,,,,,,
4.00,0.00,99323.00,18.00,99315.00,7142434.00,71.91,,,,,,,,,
5.00,0.00,99306.00,16.00,99298.00,7043120.00,70.92,,,,,,,,,
6.00,0.00,99290.00,15.00,99283.00,6943822.00,69.93,,,,,,,,,
7.00,0.00,99276.00,14.00,99269.00,6844539.00,68.94,,,,,,,,,
8.00,0.00,99262.00,12.00,99256.00,6745270.00,67.95,,,,,,,,,
9.00,0.00,99249.00,10.00,99244.00,6646015.00,66.96,,,,,,,,,
10.00,0.00,99239.00,9.00,99235.00,6546770.00,65.97,,,,,,,,,
11.00,0.00,99230.00,10.00,99226.00,6447535.00,64.98,,,,,,,,,
12.00,0.00,99221.00,15.00,99213.00,6348310.00,63.98,,,,,,,,,
13.00,0.00,99206.00,25.00,99193.00,6249096.00,62.99,,,,,,,,,
14.00,0.00,99181.00,40.00,99161.00,6149903.00,62.01,,,,,,,,,
15.00,0.00,99141.00,56.00,99113.00,6050742.00,61.03,,,,,,,,,
16.00,0.00,99086.00,70.00,99051.00,5951628.00,60.07,,,,,,,,,
17.00,0.00,99015.00,84.00,98974.00,5852578.00,59.11,,,,,,,,,
18.00,0.00,98932.00,94.00,98885.00,5753604.00,58.16,,,,,,,,,
19.00,0.00,98837.00,103.00,98786.00,5654720.00,57.21,,,,,,,,,
20.00,0.00,98735.00,112.00,98679.00,5555934.00,56.27,,,,,,,,,
21.00,0.00,98623.00,120.00,98563.00,5457255.00,55.33,,,,,,,,,
22.00,0.00,98503.00,124.00,98441.00,5358692.00,54.40,,,,,,,,,
23.00,0.00,98379.00,123.00,98318.00,5260250.00,53.47,,,,,,,,,
24.00,0.00,98257.00,118.00,98198.00,5161932.00,52.54,,,,,,,,,
25.00,0.00,98139.00,111.00,98083.00,5063734.00,51.60,,,,,,,,,
26.00,0.00,98028.00,107.00,97974.00,4965651.00,50.66,,,,,,,,,
27.00,0.00,97921.00,104.00,97869.00,4867676.00,49.71,,,,,,,,,
28.00,0.00,97817.00,105.00,97765.00,4769807.00,48.76,,,,,,,,,
29.00,0.00,97713.00,108.00,97659.00,4672042.00,47.81,,,,,,,,,
30.00,0.00,97604.00,113.00,97548.00,4574384.00,46.87,,,,,,,,,
31.00,0.00,97491.00,118.00,97432.00,4476836.00,45.92,,,,,,,,,
32.00,0.00,97373.00,125.00,97310.00,4379404.00,44.98,,,,,,,,,
33.00,0.00,97248.00,134.00,97181.00,4282093.00,44.03,,,,,,,,,
34.00,0.00,97114.00,144.00,97042.00,4184912.00,43.09,,,,,,,,,
35.00,0.00,96971.00,155.00,96893.00,4087869.00,42.16,,,,,,,,,
36.00,0.00,96815.00,168.00,96731.00,3990977.00,41.22,,,,,,,,,
37.00,0.00,96647.00,183.00,96556.00,3894246.00,40.29,,,,,,,,,
38.00,0.00,96464.00,198.00,96365.00,3797690.00,39.37,,,,,,,,,
39.00,0.00,96266.00,216.00,96158.00,3701325.00,38.45,,,,,,,,,
