"","Age","M.F","Country","TimeMin"
"1",24,"M","KEN",129.616666666667
"2",30,"M","USA",129.966666666667
"3",25,"M","JPN",130.466666666667
"4",32,"M","USA",132.133333333333
"5",31,"M","KEN",132.583333333333
"6",40,"M","USA",132.75
"7",33,"M","USA",133.266666666667
"8",28,"M","ETH",134.433333333333
"9",27,"M","USA",134.75
"10",28,"M","USA",135.466666666667
"11",32,"M","USA",135.566666666667
"12",32,"M","ETH",136.783333333333
"13",41,"M","USA",137
"14",34,"M","ZIM",137.666666666667
"15",34,"M","KEN",138.233333333333
"16",32,"M","USA",138.333333333333
"17",41,"M","USA",138.533333333333
"18",32,"M","KEN",139.55
"19",29,"M","USA",140.2
"20",29,"M","USA",140.3
"21",37,"F","KEN",141.866666666667
"22",42,"M","MEX",142.333333333333
"23",30,"M","USA",142.533333333333
"24",27,"F","BRN",142.85
"25",25,"F","USA",143
"26",31,"M","USA",143.083333333333
"27",36,"M","USA",143.2
"28",28,"M","USA",143.433333333333
"29",28,"M","USA",143.85
"30",39,"M","USA",144.45
"31",25,"M","USA",144.666666666667
"32",29,"M","USA",144.816666666667
"33",37,"M","USA",145.033333333333
"34",33,"F","USA",145.1
"35",36,"M","USA",145.1
"36",45,"M","BRA",145.25
"37",26,"M","USA",145.583333333333
"38",40,"M","USA",146
"39",27,"M","USA",146.666666666667
"40",35,"M","USA",146.816666666667
"41",34,"M","CAN",146.866666666667
"42",32,"M","USA",146.966666666667
"43",19,"M","JPN",147.183333333333
"44",33,"F","KEN",147.333333333333
"45",43,"M","USA",147.583333333333
"46",31,"M","USA",147.666666666667
"47",30,"M","USA",147.75
"48",24,"M","USA",148.3
"49",32,"M","USA",148.466666666667
"50",37,"M","USA",148.65
"51",25,"M","USA",148.716666666667
"52",35,"M","USA",148.733333333333
"53",26,"M","USA",148.75
"54",24,"F","KEN",149.583333333333
"55",27,"M","USA",149.7
"56",23,"M","JPN",149.9
"57",48,"M","ITA",150.183333333333
"58",37,"M","USA",150.316666666667
"59",41,"M","NED",150.416666666667
"60",28,"M","USA",150.516666666667
"61",29,"M","USA",150.566666666667
"62",41,"M","USA",150.683333333333
"63",29,"F","ETH",150.966666666667
"64",28,"M","USA",151.066666666667
"65",21,"M","USA",151.166666666667
"66",27,"M","USA",151.216666666667
"67",31,"M","USA",151.316666666667
"68",22,"M","USA",151.616666666667
"69",41,"M","IRL",151.616666666667
"70",23,"F","KEN",151.8
"71",33,"M","CAN",151.95
"72",36,"M","USA",152.016666666667
"73",30,"M","USA",152.1
"74",30,"M","CAN",152.233333333333
"75",32,"F","BDI",152.4
"76",29,"M","MEX",152.4
"77",25,"M","USA",152.416666666667
"78",23,"M","USA",152.733333333333
"79",40,"M","USA",152.766666666667
"80",32,"M","USA",152.85
"81",31,"M","USA",153.05
"82",25,"M","USA",153.05
"83",25,"M","USA",153.2
"84",20,"M","USA",153.35
"85",23,"F","ETH",153.433333333333
"86",32,"M","USA",153.45
"87",36,"M","GBR",153.75
"88",28,"M","USA",153.916666666667
"89",30,"M","USA",153.933333333333
"90",30,"M","USA",154.016666666667
"91",32,"M","USA",154.15
"92",31,"M","USA",154.366666666667
"93",30,"M","CAN",154.5
"94",45,"M","USA",154.666666666667
"95",26,"F","USA",154.733333333333
"96",26,"M","USA",154.783333333333
"97",39,"M","USA",154.816666666667
"98",30,"F","USA",154.883333333333
"99",25,"M","USA",155.05
"100",33,"M","USA",155.25
"101",36,"M","CAN",155.433333333333
"102",26,"M","USA",155.666666666667
"103",39,"M","USA",155.683333333333
"104",36,"M","USA",155.733333333333
"105",24,"M","USA",155.816666666667
"106",22,"M","JPN",155.85
"107",40,"M","GER",155.966666666667
"108",26,"M","USA",156.016666666667
"109",30,"M","USA",156.116666666667
"110",30,"F","USA",156.183333333333
"111",28,"M","USA",156.2
"112",23,"M","USA",156.3
"113",30,"M","GER",156.416666666667
"114",27,"M","USA",156.466666666667
"115",40,"F","USA",156.466666666667
"116",25,"M","USA",156.483333333333
"117",25,"M","USA",156.483333333333
"118",32,"F","USA",156.5
"119",32,"M","USA",156.55
"120",39,"F","USA",156.55
"121",27,"M","USA",156.6
"122",36,"M","USA",156.666666666667
"123",25,"M","USA",156.683333333333
"124",40,"M","USA",156.783333333333
"125",32,"M","USA",156.8
"126",36,"M","USA",156.95
"127",35,"M","USA",156.95
"128",35,"M","USA",157
"129",44,"M","USA",157.016666666667
"130",33,"M","USA",157.183333333333
"131",19,"M","USA",157.25
"132",26,"M","USA",157.366666666667
"133",45,"M","USA",157.466666666667
"134",33,"F","USA",157.5
"135",31,"M","USA",157.533333333333
"136",28,"M","USA",157.566666666667
"137",21,"M","USA",157.783333333333
"138",25,"M","USA",157.816666666667
"139",21,"M","USA",157.85
"140",29,"M","USA",157.85
"141",28,"M","USA",157.866666666667
"142",35,"M","USA",158.033333333333
"143",34,"M","USA",158.083333333333
"144",45,"M","USA",158.1
"145",25,"M","USA",158.25
"146",23,"M","USA",158.25
"147",28,"M","USA",158.3
"148",29,"F","USA",158.35
"149",36,"M","USA",158.4
"150",30,"M","USA",158.433333333333
"151",30,"M","USA",158.5
"152",29,"M","USA",158.516666666667
"153",27,"M","USA",158.55
"154",41,"M","USA",158.6
"155",27,"M","CAN",158.616666666667
"156",26,"M","CAN",158.616666666667
"157",46,"M","ITA",158.666666666667
"158",28,"F","USA",158.733333333333
"159",33,"M","ESP",158.733333333333
"160",29,"F","USA",158.8
"161",42,"M","USA",158.8
"162",26,"M","USA",158.85
"163",27,"M","USA",158.883333333333
"164",21,"M","USA",158.95
"165",27,"M","USA",158.983333333333
"166",36,"M","USA",158.983333333333
"167",43,"M","BRA",159.033333333333
"168",36,"M","USA",159.216666666667
"169",35,"M","GBR",159.216666666667
"170",36,"M","USA",159.266666666667
"171",35,"M","USA",159.316666666667
"172",29,"M","USA",159.383333333333
"173",30,"M","USA",159.483333333333
"174",28,"M","USA",159.5
"175",25,"M","USA",159.533333333333
"176",33,"M","USA",159.533333333333
"177",25,"M","USA",159.55
"178",28,"M","SUI",159.6
"179",23,"M","USA",159.633333333333
"180",42,"M","GBR",159.65
"181",28,"M","USA",159.666666666667
"182",29,"M","USA",159.8
"183",29,"M","USA",159.9
"184",37,"M","USA",159.916666666667
"185",35,"M","USA",159.95
"186",27,"M","USA",159.95
"187",40,"F","USA",160.033333333333
"188",29,"M","USA",160.05
"189",35,"M","CAN",160.066666666667
"190",30,"F","ETH",160.116666666667
"191",29,"M","USA",160.283333333333
"192",27,"M","USA",160.3
"193",38,"M","CAN",160.316666666667
"194",25,"M","USA",160.383333333333
"195",40,"M","USA",160.533333333333
"196",31,"M","USA",160.55
"197",37,"M","USA",160.6
"198",39,"M","USA",160.616666666667
"199",42,"M","USA",160.65
"200",28,"M","USA",160.716666666667
"201",26,"M","USA",160.733333333333
"202",38,"M","GBR",160.75
"203",19,"M","USA",160.75
"204",38,"M","COL",160.766666666667
"205",32,"M","USA",160.8
"206",24,"M","USA",160.9
"207",37,"M","USA",160.966666666667
"208",35,"M","USA",161.05
"209",36,"M","NOR",161.05
"210",34,"M","CAN",161.25
"211",30,"F","CAN",161.366666666667
"212",28,"M","USA",161.433333333333
"213",34,"M","USA",161.5
"214",33,"M","POL",161.516666666667
"215",33,"M","USA",161.583333333333
"216",23,"M","USA",161.616666666667
"217",40,"M","GBR",161.65
"218",26,"M","USA",161.683333333333
"219",40,"M","USA",161.733333333333
"220",28,"M","FRA",161.75
"221",50,"M","USA",161.8
"222",24,"M","USA",161.8
"223",22,"M","USA",161.916666666667
"224",28,"M","USA",161.95
"225",31,"M","USA",161.966666666667
"226",21,"M","USA",162
"227",27,"M","USA",162.033333333333
"228",23,"M","USA",162.133333333333
"229",30,"M","USA",162.216666666667
"230",44,"M","GBR",162.25
"231",41,"F","USA",162.266666666667
"232",38,"M","RUS",162.283333333333
"233",30,"M","USA",162.3
"234",34,"M","USA",162.366666666667
"235",23,"M","USA",162.4
"236",32,"M","SUI",162.416666666667
"237",26,"M","USA",162.45
"238",29,"M","USA",162.5
"239",30,"M","USA",162.55
"240",31,"M","USA",162.566666666667
"241",41,"M","USA",162.583333333333
"242",24,"M","USA",162.583333333333
"243",32,"M","USA",162.616666666667
"244",24,"M","USA",162.633333333333
"245",29,"M","USA",162.666666666667
"246",40,"M","USA",162.7
"247",27,"M","USA",162.716666666667
"248",34,"M","USA",162.716666666667
"249",43,"M","USA",162.75
"250",26,"M","USA",162.783333333333
"251",23,"M","USA",162.8
"252",39,"M","USA",162.8
"253",44,"M","USA",162.916666666667
"254",39,"M","USA",162.933333333333
"255",30,"M","USA",162.933333333333
"256",39,"M","USA",162.933333333333
"257",29,"M","USA",162.966666666667
"258",37,"M","USA",162.983333333333
"259",49,"M","POR",163.016666666667
"260",38,"M","USA",163.033333333333
"261",35,"M","USA",163.15
"262",27,"M","USA",163.166666666667
"263",46,"M","USA",163.216666666667
"264",26,"M","USA",163.216666666667
"265",34,"M","USA",163.233333333333
"266",28,"M","USA",163.233333333333
"267",34,"M","USA",163.233333333333
"268",25,"F","JPN",163.3
"269",32,"M","USA",163.35
"270",26,"M","USA",163.35
"271",36,"M","USA",163.35
"272",34,"M","USA",163.383333333333
"273",25,"M","USA",163.483333333333
"274",35,"M","USA",163.516666666667
"275",27,"M","USA",163.566666666667
"276",35,"M","NED",163.583333333333
"277",28,"M","USA",163.583333333333
"278",27,"M","USA",163.633333333333
"279",27,"M","USA",163.683333333333
"280",29,"M","USA",163.7
"281",24,"F","USA",163.733333333333
"282",37,"M","BRA",163.75
"283",30,"M","USA",163.783333333333
"284",42,"M","USA",163.8
"285",41,"M","USA",163.833333333333
"286",43,"M","USA",163.85
"287",25,"M","USA",163.866666666667
"288",30,"M","USA",163.866666666667
"289",38,"M","USA",163.883333333333
"290",35,"M","CRC",163.9
"291",47,"M","USA",163.9
"292",26,"M","USA",163.933333333333
"293",29,"M","USA",163.95
"294",33,"M","USA",163.966666666667
"295",34,"M","USA",163.983333333333
"296",29,"M","USA",164
"297",21,"M","USA",164.033333333333
"298",43,"M","USA",164.033333333333
"299",22,"M","USA",164.05
"300",28,"M","USA",164.083333333333
"301",30,"M","GBR",164.1
"302",36,"F","USA",164.116666666667
"303",42,"M","USA",164.116666666667
"304",41,"M","BEL",164.15
"305",34,"M","USA",164.183333333333
"306",26,"M","USA",164.266666666667
"307",22,"M","USA",164.4
"308",31,"M","CRC",164.416666666667
"309",45,"M","USA",164.45
"310",27,"M","USA",164.5
"311",37,"M","USA",164.516666666667
"312",23,"M","USA",164.533333333333
"313",42,"M","USA",164.533333333333
"314",28,"M","USA",164.533333333333
"315",36,"M","USA",164.533333333333
"316",44,"M","SUI",164.55
"317",42,"M","CAN",164.566666666667
"318",32,"M","NZL",164.566666666667
"319",28,"M","USA",164.566666666667
"320",26,"M","USA",164.566666666667
"321",41,"M","USA",164.566666666667
"322",37,"M","CAN",164.583333333333
"323",39,"M","USA",164.65
"324",42,"M","USA",164.65
"325",32,"M","USA",164.733333333333
"326",53,"M","USA",164.833333333333
"327",56,"M","USA",164.866666666667
"328",31,"M","USA",164.866666666667
"329",36,"M","USA",164.883333333333
